"isatrial","ppntID","obsbudget","obsbudget_initial","observations","obstime","drawTime","idstring","phase","score_before_choice","choice_time","payout_received","choice","score_after_choice","condition","trialindex","chose_prob","chose_pay","chose_expectation","prob1","prob2","prob3","pay1","pay2","pay3","expectedvalue1","expectedvalue2","expectedvalue3","myinstructions"
true,"6462683",0,4,"[""trial750a_prob1"",""trial750a_prob2"",""trial750a_prob3"",""trial750a_pay1"",""trial750a_pay2"",""trial750a_pay3""]","[1598434083314,1598434083337,1598434083363,1598434083380,1598434083390,1598434083397]",1598434083286,"trial750a_","phase1",0,1598434085528,true,"trial750a_1",9.28,"cond2",1,0.918,9.28,8.51904,0.918,0.536,0.0376,9.28,96.9,3.5,8.51904,51.93840000000001,0.1316,""
true,"6462683",0,4,"[""trial700a_prob1"",""trial700a_prob2"",""trial700a_prob3"",""trial700a_pay1"",""trial700a_pay2"",""trial700a_pay3""]","[1598434086806,1598434086832,1598434086852,1598434086863,1598434086870,1598434086874]",1598434086792,"trial700a_","phase1",9.28,1598434088277,false,"trial700a_2",9.28,"cond2",2,0.551,47,25.897000000000002,0.908,0.551,0.589,98.9,47,0.8,89.80120000000001,25.897000000000002,0.4712,""
true,"6462683",0,2,"[""trial292a_prob1"",""trial292a_prob2"",""trial292a_prob3"",""trial292a_pay1"",""trial292a_pay2"",""trial292a_pay3""]","[1598434089512,1598434089527,1598434089543,1598434089553,1598434089560,1598434089566]",1598434089497,"trial292a_","phase1",9.28,1598434090797,true,"trial292a_3",58.28,"cond2",3,0.507,49,24.843,0.592,0.591,0.507,90.4,54.8,49,53.5168,32.386799999999994,24.843,""
true,"6462683",0,3,"[""trial893a_prob1"",""trial893a_prob2"",""trial893a_prob3"",""trial893a_pay1"",""trial893a_pay2"",""trial893a_pay3""]","[1598434093056,1598434093072,1598434093084,1598434093094,1598434093101,1598434093106]",1598434093039,"trial893a_","phase2",58.28,1598434094715,false,"trial893a_3",58.28,"cond2",5,0.509,96.9,49.322100000000006,0.889,0.486,0.509,0.815,96.2,96.9,0.7245349999999999,46.7532,49.322100000000006,""
true,"6462683",0,5,"[""trial754a_prob1"",""trial754a_prob2"",""trial754a_prob3"",""trial754a_pay1"",""trial754a_pay2"",""trial754a_pay3""]","[1598434096024,1598434096040,1598434096045,1598434096054,1598434096059,1598434096063]",1598434096008,"trial754a_","phase2",58.28,1598434097322,false,"trial754a_1",58.28,"cond2",6,0.0211,97.7,2.06147,0.0211,0.53,0.919,97.7,52.4,47.1,2.06147,27.772000000000002,43.2849,""
true,"6462683",0,2,"[""trial285a_prob1"",""trial285a_prob2"",""trial285a_prob3"",""trial285a_pay1"",""trial285a_pay2"",""trial285a_pay3""]","[1598434098629,1598434098642,1598434098652,1598434098659,1598434098664,1598434098668]",1598434098614,"trial285a_","phase2",58.28,1598434099985,true,"trial285a_2",156.88,"cond2",7,0.907,98.6,89.4302,0.838,0.907,0.183,48.7,98.6,54.8,40.8106,89.4302,10.0284,""
true,"6462683",0,6,"[""trial701a_pay3"",""trial701a_prob3"",""trial701a_prob2"",""trial701a_pay2"",""trial701a_pay1"",""trial701a_prob1""]","[1598434455639,1598434457559,1598434459178,1598434460658,1598434461987,1598434463105]",1598434102526,"trial701a_","phase3",156.88,1598434466241,true,"trial701a_1",166.13,"cond2",9,0.117,9.25,1.0822500000000002,0.117,0.195,0.109,9.25,97.6,97.7,1.0822500000000002,19.032,10.6493,""
true,"6462683",0,4,"[""trial646a_prob2"",""trial646a_pay2"",""trial646a_pay3"",""trial646a_prob3""]","[1598434469447,1598434470759,1598434472451,1598434473760]",1598434467704,"trial646a_","phase3",166.13,1598434475615,false,"trial646a_1",166.13,"cond2",10,0.444,51.7,22.954800000000002,0.444,0.424,0.191,51.7,53.3,9.45,22.954800000000002,22.5992,1.8049499999999998,""
true,"6462683",0,5,"[""trial422a_prob2"",""trial422a_pay3"",""trial422a_prob3"",""trial422a_pay2"",""trial422a_pay1""]","[1598434478429,1598434479461,1598434480283,1598434481510,1598434482674]",1598434477054,"trial422a_","phase3",166.13,1598434484310,false,"trial422a_1",166.13,"cond2",11,0.00793,7.36,0.0583648,0.00793,0.533,0.419,7.36,8.28,48.6,0.0583648,4.41324,20.3634,""
true,"1565011",0,2,"[""trial67a_prob1"",""trial67a_prob2"",""trial67a_prob3"",""trial67a_pay1"",""trial67a_pay2"",""trial67a_pay3""]","[1598434784996,1598434785028,1598434785056,1598434785079,1598434785091,1598434785101]",1598434784966,"trial67a_","phase1",0,1598434787642,true,"trial67a_1",49.5,"cond2",1,0.864,49.5,42.768,0.864,0.99,0.581,49.5,95.1,8.86,42.768,94.14899999999999,5.147659999999999,"It's usually more useful to observe payout features."
true,"1565011",0,2,"[""trial16a_prob1"",""trial16a_prob2"",""trial16a_prob3"",""trial16a_pay1"",""trial16a_pay2"",""trial16a_pay3""]","[1598434789140,1598434789154,1598434789163,1598434789168,1598434789172,1598434789177]",1598434789126,"trial16a_","phase1",49.5,1598434790803,false,"trial16a_1",49.5,"cond2",2,0.551,48.6,26.778600000000004,0.551,0.441,0.106,48.6,52.7,99.8,26.778600000000004,23.2407,10.5788,"It's usually more useful to observe payout features."
true,"1565011",0,5,"[""trial306a_prob1"",""trial306a_prob2"",""trial306a_prob3"",""trial306a_pay1"",""trial306a_pay2"",""trial306a_pay3""]","[1598434792116,1598434792129,1598434792137,1598434792144,1598434792148,1598434792153]",1598434792101,"trial306a_","phase1",49.5,1598434793797,true,"trial306a_3",101,"cond2",3,0.405,51.5,20.8575,0.103,0.432,0.405,8.79,46.4,51.5,0.9053699999999999,20.0448,20.8575,"It's usually more useful to observe payout features."
